point_id,easting,northing,name,elevation,Latitude,Longitude
1,513056,213362,00471_rothamsted,90,51.807,-0.36
2,429124,206725,00605_brize_norton,78,51.758,-1.578
3,462370,191679,00613_benson,73,51.62,-1.099
4,421139,218140,00692_little_rissington,154,51.861,-1.693
5,507557,176752,00708_heathrow,31,51.479,-0.451
6,509749,184586,00709_northolt,40,51.549,-0.417
7,506209,158035,00719_wisley,30,51.311,-0.476
8,532989,157882,00726_kenley_airfield,152,51.304,-0.092
9,570682,157221,00744_east_malling,68,51.288,0.448
10,473640,149455,00862_odiham,113,51.239,-0.945
11,485569,154200,00869_south_farnborough,76,51.28,-0.773
12,482470,198863,17176_high_wycombe_hqair,162,51.682,-0.807
